time (s),zmp_x,zmp_y,zmp_x_lama,zmp_y_lama
0.084,4.083155612321582,1.3253806060457327,4.111339276879435,1.3343723372946477
0.183,4.081723329159793,1.3260237315089642,4.075994196512633,1.3285962333618908
0.286,4.081400243727063,1.3345404321393854,4.080107901996143,1.36860723466107
0.385,4.089600646149879,1.3292752826887986,4.122402255841143,1.3082146848864504
0.485,4.082887470782992,1.324398479903913,4.056034769315438,1.3048912687643712
0.583,4.081705776388227,1.3184529918551606,4.0769789988091665,1.2946710396601513
0.682,4.0764314082245665,1.324016051826386,4.055333935569922,1.346268291711287
0.784,4.0746952893260335,1.3199550770985577,4.067750813731899,1.3037111781872441
0.884,4.081139941067621,1.3194775480817542,4.106918548033966,1.3175674320145405
0.984,4.078874834969793,1.326578461878193,4.069814410578481,1.3549821170639484
1.086,4.065215573170562,1.3244552476968412,4.0105785259736395,1.3159623909714333
1.182,4.073372206510346,1.3122904067407553,4.105998739869483,1.2636310429164113
1.286,4.067219408647076,1.312499736288967,4.042608217193996,1.3133370544818137
1.384,4.0762202201703825,1.31196608274022,4.112223466263609,1.309831468545232
1.485,4.086014852477541,1.3200055160195228,4.125193381706171,1.3521632491367346
1.583,4.084281958638496,1.3158906270268034,4.077350383282318,1.2994310710559258
1.686,4.092427408326011,1.3126560099977853,4.125009207076068,1.299717541881713
1.785,4.088351940907971,1.3186526327496135,4.072050071235811,1.3426391237569257
1.886,4.0857866416630735,1.3249992890810243,4.075525444683482,1.350385914406666
1.983,4.079701764590122,1.3220619957119555,4.055362256298315,1.3103128222356795
2.085,4.07529842559144,1.3219662703796455,4.057685069596713,1.3215833690504053
2.183,4.077742036454113,1.3191227462783157,4.087516479904802,1.307748649872996
2.285,4.076184109367174,1.3157502360321607,4.069952401019413,1.3022601950475399
2.383,4.084340063396257,1.3159455136463287,4.116963879512592,1.316726624103
2.485,4.0806597060327645,1.3171452377897752,4.065938276578794,1.321944134363561
2.583,4.079936729490125,1.3290203729607784,4.077044823319569,1.3765209136447907
2.684,4.073408947970515,1.3250097773059404,4.047297821892073,1.3089673946865885
2.784,4.068054617910947,1.3279329119617398,4.046637297672677,1.3396254505849368
2.884,4.066752689438884,1.3184872483724932,4.061544975550626,1.2807045940155068
2.983,4.0758460500654845,1.3194001159220865,4.112219492571885,1.3230515861204595
3.084,4.076181077738193,1.314915088268763,4.0775211884290234,1.2969749776554682
3.184,4.081593017170964,1.3211532397575851,4.10324077490205,1.3461058457128743
3.285,4.078086817220866,1.3212252553826986,4.064062017420474,1.3215133178831533
3.384,4.071877333803404,1.3201317184453092,4.047039400133557,1.3157575706957512
3.484,4.07585335096495,1.3199695081996423,4.091757419611135,1.3193206672169748
3.583,4.080901256147111,1.3164335309271114,4.101092876875758,1.3022896218369868
3.684,4.084012011928407,1.3240001163000787,4.096455035053588,1.354266457791948
3.782,4.077291964314325,1.319364884580992,4.050411773857995,1.3008239577046445
3.884,4.080342467273322,1.3235418273507698,4.092544479109312,1.3402495984298803
3.983,4.080520733192939,1.320817373950576,4.081233796871406,1.3099195603498004
4.085,4.0730979277068045,1.3248918144044366,4.043406705762264,1.3411895762198784
4.183,4.086603628183742,1.3172707186023456,4.14062643009149,1.2867863353939808
4.283,4.08594309106597,1.3168922881743874,4.083300942594882,1.315378566462555
4.383,4.091628448985233,1.3232490968278618,4.1143698806622835,1.348676331441759
4.485,4.087781784767085,1.3307253817162816,4.072395127894492,1.3606305212699612
4.583,4.0872879349813385,1.3372376739604204,4.085312535838354,1.3632868429369753
4.684,4.088768467351295,1.3282671531242471,4.094690596831125,1.2923850697795531
4.783,4.090163784980098,1.3252434386147218,4.095745055495307,1.3131485805766203
4.885,4.0777133028454795,1.330090080519821,4.027911374307,1.3494766481402176
4.982,4.081321457522441,1.3269467265910873,4.095754076230286,1.3143733108761524
5.084,4.0740826637445675,1.3270740567440245,4.04512748863307,1.327583377355773
5.183,4.079661514886123,1.326994599524744,4.101976919452341,1.3266767706476228
5.284,4.087837742493917,1.3222183284958318,4.120542652925097,1.3031132443801823
5.384,4.080901720794964,1.3184892114724363,4.053157633999147,1.303572743378853
5.483,4.082162912459722,1.3086331739121109,4.087207679118753,1.2692090236708091
5.583,4.084353933235907,1.2980957891587375,4.093118016340645,1.255946250145243
5.684,4.081579752557233,1.289858427502532,4.070483029842534,1.25690898087771
5.783,4.073312418196874,1.2980832138169625,4.040243080755436,1.3309823590746837
5.884,4.080246885370572,1.3064072557646607,4.107984754065363,1.3397034235554526
5.983,4.078583840701446,1.3165515284933886,4.0719316620249435,1.3571286194082992
6.084,4.08082426636632,1.3286812448436118,4.089785969025813,1.3772001102445044
6.184,4.083042924298436,1.3294366504477375,4.091917556026896,1.3324582728642398
6.286,4.089716189941663,1.3404859886663547,4.11640925251457,1.3846833415408237
6.384,4.082412319820212,1.3318869362025114,4.053196839334405,1.297490726347138
6.485,4.08388504320258,1.334062892729392,4.089775936732048,1.3427667188369141
6.584,4.083854294678802,1.3263444352995564,4.083731300583691,1.2954706055802137
6.686,4.081084799285838,1.3208657689309056,4.070006817713985,1.2989511034563015
6.784,4.080800388398105,1.3306409806223392,4.07966274484717,1.3697418273880737
6.885,4.078720655600989,1.332308033543674,4.070401724412526,1.338976245229013
6.984,4.082623306097284,1.3297029724495562,4.098233908082465,1.319282728073084
7.085,4.08005104296236,1.3227437787852554,4.069761990422663,1.2949070041280517
7.184,4.085902887258795,1.3247613429839484,4.109310264444536,1.33283159977872
7.284,4.089346116323044,1.3388859684147358,4.103119032580037,1.3953844701378852
7.384,4.0889163333113,1.3377642674768921,4.087197201264323,1.3332774637255176
7.485,4.091120450815066,1.3376996113960131,4.09993692083013,1.3374409870724964
7.585,4.082952528318889,1.3343248090091306,4.050280838334178,1.3208255994616
7.685,4.082092475344699,1.3218670426330503,4.078652263447938,1.272035977128729
7.785,4.068693167992865,1.322607327450852,4.015095938585525,1.3255684667220589
7.885,4.074784060599832,1.3215204303879036,4.099147631027697,1.3171728421361095
